method,combo,n_tasks,task,nai,sar,sar_iso
lora,mnli+sst2,2,mnli,0.9368541905855339,0.864197850227356,0.9847228527069092
lora,mnli+sst2,2,sst2,0.9414141414141413,0.6244666576385498,0.8678420186042786
lora,mnli+sst2+record,3,mnli,0.8181400688863375,0.8752788305282593,0.9495335817337036
lora,mnli+sst2+record,3,sst2,0.9434343434343432,0.6287327408790588,0.80144202709198
lora,mnli+sst2+record,3,record,0.4406536182438499,0.8137893080711365,0.9297491908073425
lora,qnli+qqp,2,qnli,0.7529785544082604,0.7579024434089661,0.892620325088501
lora,qnli+qqp,2,qqp,0.6989491705531614,0.8910876512527466,0.967740535736084
lora,qnli+qqp+record,3,qnli,0.6644162033359808,0.7410248517990112,0.851587176322937
lora,qnli+qqp+record,3,qqp,0.6912450557884173,0.8612158298492432,0.9334921836853027
lora,qnli+qqp+record,3,record,0.352576764230562,0.8197798728942871,0.9140525460243225
lora,qnli+qqp+sst2,3,qnli,0.7946783161239079,0.7707428932189941,0.8774421215057373
lora,qnli+qqp+sst2,3,qqp,0.7100183009622765,0.88869309425354,0.9568222165107727
lora,qnli+qqp+sst2,3,sst2,0.793939393939394,0.6420162320137024,0.8266984224319458
lora,qnli+qqp+sst2+record,4,qnli,0.5591739475774423,0.7432199716567993,0.8420284986495972
lora,qnli+qqp+sst2+record,4,qqp,0.6924257630320563,0.8542115092277527,0.9242852926254272
lora,qnli+qqp+sst2+record,4,sst2,0.9090909090909095,0.6476104259490967,0.7816433906555176
lora,qnli+qqp+sst2+record,4,record,0.47171844137188007,0.8092062473297119,0.9055065512657166
lora,qnli+record,2,qnli,0.926131850675139,0.8017982244491577,0.9412631988525391
lora,qnli+record,2,record,0.716286586460765,0.8807172179222107,0.9699872732162476
lora,qnli+sst2,2,qnli,0.9400317712470214,0.8731400966644287,0.9697638750076294
lora,qnli+sst2,2,sst2,0.9757575757575757,0.7599678039550781,0.9201632738113403
lora,qnli+sst2+record,3,qnli,0.8530579825258141,0.8061084747314453,0.9160407781600952
lora,qnli+sst2+record,3,sst2,0.9616161616161616,0.6855874061584473,0.8502957820892334
lora,qnli+sst2+record,3,record,0.5631172562398994,0.8727933764457703,0.9586971402168274
lora,qqp+record,2,qqp,0.8925261231477655,0.8835402727127075,0.959459662437439
lora,qqp+record,2,record,0.5550368109175794,0.8286759853363037,0.9339663982391357
lora,qqp+sst2,2,qqp,0.8755829742015467,0.8993948101997375,0.9831849336624146
lora,qqp+sst2,2,sst2,0.9434343434343432,0.6246771216392517,0.8647556304931641
lora,qqp+sst2+record,3,qqp,0.8497254855658539,0.8790624141693115,0.9465107321739197
lora,qqp+sst2+record,3,sst2,0.9212121212121213,0.6518021821975708,0.8020241856575012
lora,qqp+sst2+record,3,record,0.4723469204525049,0.8292346596717834,0.9231588840484619
lora,sst2+record,2,sst2,0.963636363636364,0.6953625679016113,0.9147224426269531
lora,sst2+record,2,record,0.8153169330220866,0.911337673664093,0.9838612079620361
