method,combo,n_tasks,target,best_coef,best_acc,nai
lora,mnli+sst2+record,3,boolq,0.25,0.4865443425076453,0.23841059602649012
lora,mnli+sst2+record,3,rte,0.35000000000000003,0.6642599277978339,0.818840579710145
lora,mnli+sst2+record,3,cola,0.25,0.6768935762224353,0.08965517241379287
lora,qnli+qqp,2,mrpc,0.5,0.6936274509803921,0.8489425981873112
lora,qnli+qqp,2,boolq,0.05,0.3749235474006116,-0.030169242089771918
lora,qnli+qqp,2,rte,1.0,0.5415162454873647,0.5724637681159421
lora,qnli+qqp,2,cola,0.5,0.6874400767018217,0.16551724137931045
lora,qnli+qqp+record,3,mrpc,0.4,0.6740196078431373,0.8247734138972811
lora,qnli+qqp+record,3,boolq,0.05,0.37553516819571864,-0.028697571743929434
lora,qnli+qqp+record,3,rte,0.7000000000000001,0.5703971119133574,0.6304347826086957
lora,qnli+qqp+record,3,cola,0.35000000000000003,0.6797698945349953,0.11034482758620698
lora,qnli+qqp+sst2,3,mrpc,0.4,0.6936274509803921,0.8489425981873112
lora,qnli+qqp+sst2,3,boolq,0.05,0.3782874617737003,-0.022075055187637974
lora,qnli+qqp+sst2,3,rte,0.75,0.6209386281588448,0.7318840579710146
lora,qnli+qqp+sst2,3,cola,0.30000000000000004,0.6912751677852349,0.19310344827586182
lora,qnli+qqp+sst2+record,4,mrpc,0.4,0.6985294117647058,0.8549848942598187
lora,qnli+qqp+sst2+record,4,boolq,0.05,0.38593272171253823,-0.003679175864606351
lora,qnli+qqp+sst2+record,4,rte,0.55,0.6137184115523465,0.717391304347826
lora,qnli+qqp+sst2+record,4,cola,0.35000000000000003,0.6864813039309684,0.15862068965517243
lora,qnli+record,2,mrpc,0.7000000000000001,0.7034313725490197,0.8610271903323263
lora,qnli+record,2,boolq,0.25,0.5021406727828747,0.27593818984547475
lora,qnli+record,2,rte,0.6000000000000001,0.6498194945848376,0.7898550724637683
lora,qnli+record,2,cola,0.8500000000000001,0.6193672099712368,-0.3241379310344829
lora,qnli+sst2,2,mrpc,0.7000000000000001,0.6887254901960784,0.8429003021148036
