combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
record+winogrande,0.678921568627451,0.6116207951070336,0.6570397111913358,0.42857142857142855,0.39285714285714285,0.42850423330197557,0.22432456387747465,0.9042553191489362,0.8189493433395872,0.6245874587458746,0.01,0.002176278563656148
snli+anli_r1,0.3382352941176471,0.5764525993883792,0.5631768953068592,0.5704697986577181,0.7678571428571429,0.7793979303857008,0.29056070421473834,0.7978723404255319,0.7598499061913696,0.6703795379537953,0.04,0.01632208922742111
snli+hellaswag,0.3284313725490196,0.6030581039755352,0.5270758122743683,0.551294343240652,0.7321428571428571,0.7695202257761053,0.2696585452703252,0.601063829787234,0.24577861163227016,0.6495462046204621,0.59,0.4515778019586507
snli+imdb,0.34068627450980393,0.4651376146788991,0.5270758122743683,0.6347075743048898,0.7321428571428571,0.7732831608654751,0.36170680398259364,0.8670212765957447,0.8611632270168855,0.6051980198019802,0.52,0.25571273122959737
snli+paws,0.32598039215686275,0.5847094801223242,0.5270758122743683,0.16586768935762225,0.7678571428571429,0.7671683913452493,0.3523120125270782,0.31117021276595747,0.06191369606003752,0.720503300330033,0.01,0.0
snli+squad_v2,0.3480392156862745,0.6247706422018349,0.5270758122743683,0.4582933844678811,0.7321428571428571,0.7624647224835371,0.25470734365057845,0.6835106382978723,0.4324577861163227,0.6742986798679867,0.04,0.0
snli+winogrande,0.3333333333333333,0.5776758409785933,0.5270758122743683,0.47746883988494726,0.8392857142857143,0.7831608654750706,0.31512894957897797,0.6117021276595744,0.2626641651031895,0.6555280528052805,0.56,0.1572361262241567
squad_v2+hellaswag,0.5490196078431373,0.6012232415902141,0.6209386281588448,0.45445829338446786,0.3392857142857143,0.5569143932267169,0.2327142477192981,0.7659574468085106,0.7345215759849906,0.5129950495049505,0.5,0.37431991294885747
squad_v2+winogrande,0.571078431372549,0.5880733944954128,0.6606498194945848,0.3547459252157239,0.3392857142857143,0.6279397930385701,0.21188686143410662,0.8803191489361702,0.8048780487804879,0.5796204620462047,0.18,0.024483133841131665
sst2+anli_r1,0.5367647058823529,0.4996941896024465,0.6389891696750902,0.5982742090124641,0.16071428571428573,0.7238946378174976,0.35460834766989907,0.9228723404255319,0.9165103189493433,0.5913778877887789,0.62,0.5560391730141458
sst2+hellaswag,0.5,0.490519877675841,0.516245487364621,0.6069031639501438,0.08928571428571429,0.603480714957667,0.21391815371820297,0.9042553191489362,0.9174484052532833,0.528052805280528,0.69,0.7083786724700761
sst2+imdb,0.5245098039215687,0.41651376146788993,0.4729241877256318,0.6356663470757431,0.08928571428571429,0.5973659454374413,0.2525674125618121,0.9202127659574468,0.926829268292683,0.5008250825082509,0.64,0.46789989118607184
sst2+paws,0.4877450980392157,0.6128440366972477,0.5126353790613718,0.5263662511984659,0.08928571428571429,0.6006585136406397,0.3276244524753819,0.9148936170212766,0.9090056285178236,0.673473597359736,0.08,0.033188248095756254
sst2+record,0.5955882352941176,0.5501529051987768,0.5776173285198556,0.5580057526366251,0.08928571428571429,0.6152398871119473,0.2446573844016933,0.9148936170212766,0.9202626641651032,0.6095297029702971,0.05,0.018498367791077257
sst2+snli,0.3553921568627451,0.4892966360856269,0.5270758122743683,0.576222435282838,0.6964285714285714,0.7723424270931326,0.34939317320323776,0.8617021276595744,0.8714821763602252,0.6278877887788779,0.36,0.11262241566920565
sst2+squad_v2,0.5686274509803921,0.5685015290519878,0.5667870036101083,0.5167785234899329,0.10714285714285714,0.6110065851364064,0.22721098471644366,0.925531914893617,0.9202626641651032,0.5666254125412541,0.08,0.01958650707290533
sst2+winogrande,0.5612745098039216,0.42415902140672784,0.5451263537906137,0.5570469798657718,0.10714285714285714,0.6020696142991533,0.24578505464200467,0.925531914893617,0.9108818011257036,0.5447607260726073,0.65,0.6751904243743199
anli_r1+hellaswag+winogrande,0.4068627450980392,0.5198776758409785,0.6606498194945848,0.5589645254074784,0.6785714285714286,0.7681091251175918,0.4308927218853147,0.8617021276595744,0.8161350844277674,0.5499174917491749,0.76,0.7143634385201306
anli_r1+imdb+hellaswag,0.4215686274509804,0.5116207951070336,0.6425992779783394,0.6653883029721956,0.4107142857142857,0.7878645343367827,0.30614534446770514,0.9069148936170213,0.8949343339587242,0.5024752475247525,0.69,0.720892274211099
anli_r1+imdb+squad_v2,0.5759803921568627,0.5024464831804282,0.6137184115523465,0.588686481303931,0.5714285714285714,0.7836312323612418,0.24483756187012665,0.9042553191489362,0.8855534709193246,0.557549504950495,0.43,0.1458106637649619
anli_r1+imdb+winogrande,0.5196078431372549,0.47522935779816516,0.6462093862815884,0.6097794822627037,0.5,0.8010348071495766,0.2789710336514684,0.9069148936170213,0.899624765478424,0.5117574257425742,0.69,0.6692056583242655
anli_r1+paws+hellaswag,0.3431372549019608,0.6045871559633027,0.6787003610108303,0.5647171620325983,0.5357142857142857,0.7737535277516463,0.2622164202076689,0.875,0.797373358348968,0.7334983498349835,0.56,0.5571273122959739
anli_r1+paws+imdb,0.46568627450980393,0.6073394495412844,0.631768953068592,0.6116970278044104,0.4642857142857143,0.8245531514581373,0.3084506579407438,0.9095744680851063,0.8893058161350844,0.6990511551155115,0.48,0.500544069640914
anli_r1+paws+squad_v2,0.3602941176470588,0.6302752293577981,0.6606498194945848,0.4784276126558006,0.7857142857142857,0.7888052681091251,0.2505176816793849,0.8723404255319149,0.8105065666041276,0.7260726072607261,0.03,0.00544069640914037
anli_r1+paws+winogrande,0.3480392156862745,0.5972477064220183,0.6787003610108303,0.49760306807286675,0.6071428571428571,0.8024459078080903,0.3190925569779172,0.8617021276595744,0.7879924953095685,0.7209158415841584,0.29,0.11099020674646355
anli_r1+squad_v2+hellaswag,0.4950980392156863,0.5969418960244648,0.5956678700361011,0.50143815915628,0.75,0.7408278457196613,0.23180347145835,0.8829787234042553,0.8151969981238274,0.5724009900990099,0.56,0.558215451577802
anli_r1+squad_v2+winogrande,0.5514705882352942,0.5948012232415902,0.628158844765343,0.4439117929050815,0.8035714285714286,0.7869238005644402,0.24244596142934402,0.875,0.8161350844277674,0.5988036303630363,0.48,0.2807399347116431
imdb+hellaswag+winogrande,0.5588235294117647,0.42048929663608564,0.6534296028880866,0.6289549376797698,0.16071428571428573,0.6180620884289746,0.25465253066081023,0.9122340425531915,0.9043151969981238,0.4923679867986799,0.73,0.721436343852013
imdb+squad_v2+hellaswag,0.6323529411764706,0.5027522935779817,0.6534296028880866,0.5848513902205177,0.26785714285714285,0.6232361241768579,0.238758248160401,0.9122340425531915,0.8911819887429644,0.5156765676567657,0.62,0.5870511425462459
imdb+squad_v2+winogrande,0.6225490196078431,0.4975535168195719,0.6859205776173285,0.5225311601150527,0.19642857142857142,0.6467544684854186,0.21946070032918635,0.9122340425531915,0.8958724202626641,0.5385726072607261,0.53,0.4178454842219804
