method,combo,n_tasks,target,cos_mix,dot_mix,ts_cos,ts_dot,kc_cos,kc_dot
base,mnli+qqp+sst2+snli+paws+hellaswag,6,stsb,0.019751502572921825,0.31102077878540163,0.009441336669615313,0.05183679646423361,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,cr,0.057898346503101675,0.685738989506356,0.04334664725042869,0.11428983158439267,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,rotten_tomatoes,0.06535205632836928,1.0362274458231768,0.05030928728138531,0.1727045743038628,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,multirc,0.041192940929545986,1.2140089038239081,0.024769471684731422,0.2023348173039847,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,copa,0.012257895892922402,0.08255660276252645,0.008931603384923733,0.01375943379375441,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+hellaswag,6,piqa,0.02267649874591902,0.46580563072826053,0.01712787890375046,0.07763427178804343,0.03166247904039364,1.3772723836414023
base,mnli+qqp+sst2+snli+paws+winogrande,6,mrpc,0.039725777574703705,0.42524445879487793,0.020339547678567934,0.070874076465813,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,boolq,0.031240474351151726,0.5269963093432277,0.020731592917212546,0.08783271822387129,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,rte,0.06520501948720744,0.6706823146651947,0.029674129598869083,0.11178038577753245,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,cola,0.03349088575809796,0.5303911952502185,0.017063673907892613,0.08839853254170309,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,cb,0.05541208633497446,0.331068051342272,0.02332581373895914,0.055178008557045334,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,scitail,0.08986317738313426,2.0935879139654356,0.03654229291322198,0.3489313189942393,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,stsb,0.019727293311781476,0.3110777670975887,0.009411957947368715,0.05184629451626479,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,cr,0.058005330586317266,0.6879752181861654,0.04346670473510731,0.1146625363643609,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,rotten_tomatoes,0.0656117978078956,1.041813492644512,0.05061469051494102,0.17363558210741867,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,multirc,0.04140596162116234,1.2220082963601944,0.02499804314039893,0.20366804939336572,0.032023247380641856,1.3810071071626988
