combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qqp+snli+paws+imdb+hellaswag,0.3161764705882353,0.4706422018348624,0.6245487364620939,0.6126558005752637,0.8392857142857143,0.8311382878645344,0.8377659574468085,0.8255159474671669,0.6563531353135313,0.44,0.44450489662676823
mnli+qqp+snli+paws+imdb+winogrande,0.3161764705882353,0.46422018348623856,0.628158844765343,0.5848513902205177,0.875,0.8264346190028222,0.8404255319148937,0.8302063789868668,0.6483085808580858,0.39,0.35310119695321
mnli+qqp+sst2+anli_r1+hellaswag+winogrande,0.3161764705882353,0.3944954128440367,0.8050541516245487,0.5810162991371045,0.7321428571428571,0.8532455315145814,0.8856382978723404,0.873358348968105,0.6235561056105611,0.65,0.6229597388465724
mnli+qqp+sst2+anli_r1+imdb+hellaswag,0.31862745098039214,0.28440366972477066,0.7833935018050542,0.6442953020134228,0.6785714285714286,0.8471307619943556,0.898936170212766,0.900562851782364,0.5889026402640264,0.6,0.6245919477693145
mnli+qqp+sst2+anli_r1+imdb+winogrande,0.31862745098039214,0.29021406727828747,0.7906137184115524,0.613614573346117,0.6964285714285714,0.8396048918156162,0.901595744680851,0.8911819887429644,0.5988036303630363,0.59,0.5538628944504896
mnli+qqp+sst2+anli_r1+paws+hellaswag,0.3161764705882353,0.5030581039755352,0.8339350180505415,0.588686481303931,0.7321428571428571,0.8513640639698965,0.8776595744680851,0.8714821763602252,0.6437706270627063,0.56,0.4276387377584331
mnli+qqp+sst2+anli_r1+paws+imdb,0.31862745098039214,0.463302752293578,0.8303249097472925,0.6145733461169702,0.6607142857142857,0.8311382878645344,0.8962765957446809,0.8893058161350844,0.6415016501650165,0.52,0.3748639825897715
mnli+qqp+sst2+anli_r1+paws+winogrande,0.3161764705882353,0.4892966360856269,0.8231046931407943,0.5675934803451582,0.75,0.8508936970837253,0.8856382978723404,0.8677298311444653,0.6445957095709571,0.51,0.29325353645266594
mnli+qqp+sst2+imdb+hellaswag+winogrande,0.3161764705882353,0.32782874617737,0.7328519855595668,0.613614573346117,0.5357142857142857,0.665098777046096,0.9069148936170213,0.9080675422138836,0.5889026402640264,0.69,0.6425462459194777
mnli+qqp+sst2+paws+hellaswag+winogrande,0.3161764705882353,0.5,0.7292418772563177,0.576222435282838,0.5892857142857143,0.715898400752587,0.8882978723404256,0.873358348968105,0.6423267326732673,0.62,0.4940152339499456
