method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,anli_r1+paws+imdb+hellaswag+winogrande,5,rotten_tomatoes,0.25,0.8939962476547842,0.9605978260869565,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,multirc,0.15000000000000002,0.6662541254125413,0.5460886895864475,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,copa,0.2,0.67,0.8222222222222223,,
base,anli_r1+paws+imdb+hellaswag+winogrande,5,piqa,0.25,0.6893362350380848,0.7458912768647281,,
base,anli_r1+paws+imdb+winogrande,4,mrpc,0.35000000000000003,0.5196078431372549,0.6104651162790699,,
base,anli_r1+paws+imdb+winogrande,4,boolq,0.30000000000000004,0.5960244648318043,0.4732824427480916,,
base,anli_r1+paws+imdb+winogrande,4,rte,0.2,0.6750902527075813,0.8000000000000002,,
base,anli_r1+paws+imdb+winogrande,4,cola,0.2,0.5570469798657718,-0.6400000000000005,,
base,anli_r1+paws+imdb+winogrande,4,cb,0.7000000000000001,0.5535714285714286,0.775,,
base,anli_r1+paws+imdb+winogrande,4,scitail,0.25,0.7775164628410159,0.8070436507936507,,
base,anli_r1+paws+imdb+winogrande,4,cr,0.25,0.9095744680851063,0.9646643109540635,,
base,anli_r1+paws+imdb+winogrande,4,rotten_tomatoes,0.30000000000000004,0.8939962476547842,0.9605978260869565,,
base,anli_r1+paws+imdb+winogrande,4,multirc,0.25,0.6802805280528053,0.5799701046337817,,
base,anli_r1+paws+imdb+winogrande,4,copa,0.30000000000000004,0.57,0.5999999999999999,,
base,anli_r1+paws+imdb+winogrande,4,piqa,0.35000000000000003,0.6006528835690969,0.5398230088495576,,
base,anli_r1+paws+winogrande,3,mrpc,0.15000000000000002,0.3480392156862745,0.4069767441860465,,
base,anli_r1+paws+winogrande,3,boolq,0.1,0.5972477064220183,0.47605829285218587,,
base,anli_r1+paws+winogrande,3,rte,0.25,0.6787003610108303,0.806896551724138,,
base,anli_r1+paws+winogrande,3,cola,0.35000000000000003,0.49760306807286675,-0.9942857142857146,,
base,anli_r1+paws+winogrande,3,cb,0.45,0.6071428571428571,0.8499999999999999,,
base,anli_r1+paws+winogrande,3,scitail,0.30000000000000004,0.8024459078080903,0.8333333333333333,,
base,anli_r1+paws+winogrande,3,cr,0.30000000000000004,0.8617021276595744,0.901060070671378,,
base,anli_r1+paws+winogrande,3,rotten_tomatoes,0.35000000000000003,0.7879924953095685,0.8070652173913043,,
base,anli_r1+paws+winogrande,3,multirc,0.35000000000000003,0.7209158415841584,0.678126557050324,,
base,anli_r1+paws+winogrande,3,copa,0.35000000000000003,0.29,-0.02222222222222224,,
base,anli_r1+paws+winogrande,3,piqa,0.4,0.11099020674646355,-0.5979772439949431,,
base,anli_r1+squad_v2,2,mrpc,0.7000000000000001,0.5196078431372549,0.6104651162790699,,
base,anli_r1+squad_v2,2,boolq,0.1,0.6140672782874618,0.5142262317834837,,
base,anli_r1+squad_v2,2,rte,0.15000000000000002,0.5812274368231047,0.6206896551724139,,
base,anli_r1+squad_v2,2,cola,0.45,0.5004793863854267,-0.9771428571428574,,
base,anli_r1+squad_v2,2,cb,0.9,0.8035714285714286,1.125,,
base,anli_r1+squad_v2,2,scitail,0.5,0.7902163687676388,0.8204365079365079,,
base,anli_r1+squad_v2,2,cr,0.5,0.8563829787234043,0.8939929328621908,,
base,anli_r1+squad_v2,2,rotten_tomatoes,0.4,0.8030018761726079,0.8288043478260869,,
base,anli_r1+squad_v2,2,multirc,0.2,0.6023102310231023,0.39162929745889397,,
base,anli_r1+squad_v2,2,copa,0.6000000000000001,0.1,-0.4444444444444444,,
base,anli_r1+squad_v2,2,piqa,0.55,0.004896626768226333,-0.8445006321112516,,
base,anli_r1+winogrande,2,mrpc,0.2,0.39215686274509803,0.4593023255813954,,
base,anli_r1+winogrande,2,boolq,0.15000000000000002,0.5293577981651376,0.32199861207494795,,
base,anli_r1+winogrande,2,rte,0.25,0.631768953068592,0.7172413793103448,,
base,anli_r1+winogrande,2,cola,0.4,0.5071907957813998,-0.9371428571428575,,
base,anli_r1+winogrande,2,cb,1.1,0.7142857142857143,1.0,,
base,anli_r1+winogrande,2,scitail,0.4,0.8118532455315146,0.8432539682539683,,
base,anli_r1+winogrande,2,cr,0.4,0.851063829787234,0.8869257950530036,,
base,anli_r1+winogrande,2,rotten_tomatoes,0.4,0.7842401500938087,0.8016304347826089,,
base,anli_r1+winogrande,2,multirc,0.25,0.5961221122112211,0.3766816143497759,,
base,anli_r1+winogrande,2,copa,0.5,0.68,0.8444444444444446,,
base,anli_r1+winogrande,2,piqa,0.45,0.6594124047878128,0.6763590391908976,,
base,hellaswag+winogrande,2,mrpc,0.9,0.39215686274509803,0.4593023255813954,,
base,hellaswag+winogrande,2,boolq,0.15000000000000002,0.4685015290519878,0.1839000693962526,,
